Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1972","1972","kilotonnes","9.3809","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1973","1973","kilotonnes","7.2962","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1974","1974","kilotonnes","5.2116","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1975","1975","kilotonnes","3.127","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1976","1976","kilotonnes","3.127","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1977","1977","kilotonnes","2.5893","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1978","1978","kilotonnes","2.581","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1979","1979","kilotonnes","2.6637","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1980","1980","kilotonnes","2.4817","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1981","1981","kilotonnes","2.5396","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1982","1982","kilotonnes","2.6554","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1983","1983","kilotonnes","2.6637","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1984","1984","kilotonnes","2.7878","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1985","1985","kilotonnes","2.2005","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1986","1986","kilotonnes","1.8696","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1987","1987","kilotonnes","0.0745","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1988","1988","kilotonnes","0.1985","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1989","1989","kilotonnes","0.1489","X","International reliable sources"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1990","1990","kilotonnes","11.176","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1991","1991","kilotonnes","9.7945","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1992","1992","kilotonnes","9.6125","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1993","1993","kilotonnes","11.8378","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1994","1994","kilotonnes","12.7229","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1995","1995","kilotonnes","14.5511","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1996","1996","kilotonnes","18.6211","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1997","1997","kilotonnes","16.4289","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1998","1998","kilotonnes","15.792","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","1999","1999","kilotonnes","16.4207","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2000","2000","kilotonnes","16.3462","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2001","2001","kilotonnes","12.0942","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2002","2002","kilotonnes","11.0271","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2003","2003","kilotonnes","9.4573","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2004","2004","kilotonnes","9.5435","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2005","2005","kilotonnes","7.2202","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2006","2006","kilotonnes","5.7156","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2007","2007","kilotonnes","4.5638","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2008","2008","kilotonnes","4.4304","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2009","2009","kilotonnes","3.9272","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2010","2010","kilotonnes","7.2996","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2011","2011","kilotonnes","7.3028","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2012","2012","kilotonnes","7.015","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2013","2013","kilotonnes","4.4304","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2014","2014","kilotonnes","3.9272","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2015","2015","kilotonnes","12.1463","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2016","2016","kilotonnes","12.8205","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2017","2017","kilotonnes","9.6952","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2018","2018","kilotonnes","10.2164","F","FAO estimate"
"GN","Energy Use","165","Pakistan","7273","Emissions (CO2)","6804","Fuel oil","2019","2019","kilotonnes","11.4742","F","FAO estimate"
